EmployeeNumber,Age,Gender,Edu,Education,MaritalStatus,Over18,Department,BusinessTravel,DistanceFromHome,EducationField,EmployeeCount,StandardHours
1,41,Female,2,College,Single,Y,Sales,Travel_Rarely,1,Life Sciences,1,80
2,49,Male,1,Below College,Married,Y,Research & Development,Travel_Frequently,8,Life Sciences,1,80
4,37,Male,2,College,Single,Y,Research & Development,Travel_Rarely,2,Other,1,80
5,33,Female,4,Master,Married,Y,Research & Development,Travel_Frequently,3,Life Sciences,1,80
7,27,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,2,Medical,1,80
8,32,Male,2,College,Single,Y,Research & Development,Travel_Frequently,2,Life Sciences,1,80
10,59,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,3,Medical,1,80
11,30,Male,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,24,Life Sciences,1,80
12,38,Male,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,23,Life Sciences,1,80
13,36,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,27,Medical,1,80
14,35,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,16,Medical,1,80
15,29,Female,2,College,Single,Y,Research & Development,Travel_Rarely,15,Life Sciences,1,80
16,31,Male,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,26,Life Sciences,1,80
18,34,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,19,Medical,1,80
19,28,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,24,Life Sciences,1,80
20,29,Female,4,Master,Divorced,Y,Research & Development,Travel_Rarely,21,Life Sciences,1,80
21,32,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,5,Life Sciences,1,80
22,22,Male,2,College,Divorced,Y,Research & Development,Non-Travel,16,Medical,1,80
23,53,Female,4,Master,Married,Y,Sales,Travel_Rarely,2,Life Sciences,1,80
24,38,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,2,Life Sciences,1,80
26,24,Female,2,College,Divorced,Y,Research & Development,Non-Travel,11,Other,1,80
27,36,Male,4,Master,Single,Y,Sales,Travel_Rarely,9,Life Sciences,1,80
28,34,Female,4,Master,Single,Y,Research & Development,Travel_Rarely,7,Life Sciences,1,80
30,21,Male,1,Below College,Single,Y,Research & Development,Travel_Rarely,6,Medical,1,80
31,34,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,5,Other,1,80
32,53,Female,1,Below College,Single,Y,Research & Development,Travel_Frequently,16,Life Sciences,1,80
33,32,Female,4,Master,Married,Y,Sales,Travel_Rarely,8,Marketing,1,80
35,42,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,7,Medical,1,80
36,44,Female,4,Master,Single,Y,Sales,Travel_Rarely,2,Marketing,1,80
38,46,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,2,Medical,1,80
39,33,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,10,Other,1,80
40,44,Male,2,College,Single,Y,Research & Development,Travel_Rarely,9,Medical,1,80
41,30,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,5,Technical Degree,1,80
42,39,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,1,Medical,1,80
45,24,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,2,Medical,1,80
46,43,Female,2,College,Married,Y,Sales,Travel_Rarely,3,Marketing,1,80
47,50,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,2,Marketing,1,80
49,35,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,5,Life Sciences,1,80
51,36,Female,3,Bachelor,Married,Y,Sales,Travel_Frequently,1,Life Sciences,1,80
52,33,Female,2,College,Divorced,Y,Research & Development,Travel_Rarely,4,Other,1,80
53,35,Male,4,Master,Divorced,Y,Research & Development,Travel_Rarely,2,Life Sciences,1,80
54,27,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,25,Life Sciences,1,80
55,26,Male,3,Bachelor,Single,Y,Sales,Travel_Frequently,8,Life Sciences,1,80
56,27,Male,2,College,Single,Y,Research & Development,Travel_Frequently,1,Medical,1,80
57,30,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,12,Technical Degree,1,80
58,41,Female,4,Master,Single,Y,Sales,Non-Travel,23,Marketing,1,80
60,34,Male,2,College,Married,Y,Research & Development,Travel_Rarely,19,Life Sciences,1,80
61,37,Male,4,Master,Single,Y,Sales,Travel_Frequently,5,Marketing,1,80
62,46,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,8,Life Sciences,1,80
63,35,Male,2,College,Single,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
64,48,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,5,Technical Degree,1,80
65,28,Male,5,Doctor,Divorced,Y,Sales,Travel_Rarely,1,Marketing,1,80
68,44,Female,2,College,Married,Y,Research & Development,Non-Travel,11,Medical,1,80
70,35,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,23,Marketing,1,80
72,26,Female,2,College,Single,Y,Research & Development,Travel_Frequently,1,Life Sciences,1,80
73,33,Female,5,Doctor,Married,Y,Sales,Travel_Frequently,18,Life Sciences,1,80
74,35,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,23,Medical,1,80
75,35,Female,4,Master,Divorced,Y,Research & Development,Travel_Rarely,7,Life Sciences,1,80
76,31,Male,4,Master,Divorced,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
77,37,Male,5,Doctor,Single,Y,Research & Development,Travel_Frequently,29,Life Sciences,1,80
78,32,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,7,Medical,1,80
79,38,Female,3,Bachelor,Single,Y,Sales,Travel_Rarely,25,Life Sciences,1,80
80,50,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,8,Technical Degree,1,80
81,59,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,8,Medical,1,80
83,36,Female,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,11,Life Sciences,1,80
84,55,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,7,Life Sciences,1,80
85,36,Male,3,Bachelor,Married,Y,Research & Development,Travel_Frequently,1,Medical,1,80
86,45,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,9,Medical,1,80
88,35,Male,1,Below College,Single,Y,Sales,Travel_Frequently,1,Life Sciences,1,80
90,36,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,2,Life Sciences,1,80
91,59,Female,4,Master,Single,Y,Research & Development,Travel_Rarely,1,Medical,1,80
94,29,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
95,31,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,6,Life Sciences,1,80
96,32,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,8,Life Sciences,1,80
97,36,Female,4,Master,Single,Y,Sales,Travel_Rarely,1,Marketing,1,80
98,31,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,6,Other,1,80
100,35,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,7,Medical,1,80
101,45,Male,2,College,Divorced,Y,Human Resources,Travel_Rarely,5,Medical,1,80
102,37,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
103,46,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,1,Medical,1,80
104,30,Male,2,College,Married,Y,Sales,Travel_Rarely,1,Life Sciences,1,80
105,35,Male,3,Bachelor,Divorced,Y,Research & Development,Non-Travel,6,Medical,1,80
106,55,Male,2,College,Married,Y,Research & Development,Travel_Rarely,1,Medical,1,80
107,38,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,7,Life Sciences,1,80
110,34,Male,1,Below College,Divorced,Y,Sales,Travel_Rarely,2,Technical Degree,1,80
112,56,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,9,Life Sciences,1,80
113,23,Male,2,College,Single,Y,Sales,Travel_Rarely,9,Medical,1,80
116,51,Male,4,Master,Married,Y,Research & Development,Travel_Frequently,1,Life Sciences,1,80
117,30,Male,4,Master,Single,Y,Sales,Travel_Rarely,21,Marketing,1,80
118,46,Male,2,College,Divorced,Y,Sales,Travel_Rarely,4,Medical,1,80
119,40,Male,4,Master,Single,Y,Sales,Travel_Rarely,6,Medical,1,80
120,51,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,2,Technical Degree,1,80
121,30,Female,2,College,Married,Y,Sales,Travel_Rarely,3,Other,1,80
124,46,Male,3,Bachelor,Married,Y,Sales,Non-Travel,4,Medical,1,80
125,32,Male,4,Master,Single,Y,Sales,Travel_Rarely,10,Medical,1,80
126,54,Female,3,Bachelor,Married,Y,Research & Development,Non-Travel,23,Medical,1,80
128,24,Female,4,Master,Divorced,Y,Human Resources,Travel_Rarely,6,Human Resources,1,80
129,28,Male,1,Below College,Single,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
131,58,Male,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,6,Life Sciences,1,80
132,44,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,6,Other,1,80
133,37,Male,2,College,Divorced,Y,Research & Development,Non-Travel,2,Life Sciences,1,80
134,32,Male,4,Master,Married,Y,Human Resources,Non-Travel,2,Human Resources,1,80
137,20,Female,3,Bachelor,Married,Y,Research & Development,Travel_Frequently,1,Life Sciences,1,80
138,34,Female,3,Bachelor,Single,Y,Sales,Travel_Rarely,5,Marketing,1,80
139,37,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,7,Medical,1,80
140,59,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,15,Medical,1,80
